year,est,lwr,upr,log_est,se,se_natural,type,species
2019,193164295.54655224,119121141.49338453,313231090.68819547,19.079051657004353,0.24663725038067125,155748935.8248955,index,Aphia minuta
2020,268891145.1305046,155694433.48238248,464386852.5831106,19.409817190724798,0.27878640139713534,211202286.43008643,index,Aphia minuta
2021,521245108.18376917,338919439.8909596,801654997.697747,20.071730946253908,0.21962543852090666,416785209.7443304,index,Aphia minuta
2022,424369005.91293335,263792853.99988392,682691173.9603465,19.866113931671876,0.24257548926689548,341481779.06727725,index,Aphia minuta
2023,444554533.17738366,277394052.4628931,712447621.7636222,19.912583289706703,0.24063384230736543,352656083.90442586,index,Aphia minuta
2024,781583281.322896,489373863.23906404,1248273501.1637664,20.476832268140242,0.2388793722791851,611193323.3129936,index,Aphia minuta
1993,13928838202.880955,10019147196.934786,19364176398.305702,23.35722721873883,0.16809666016461713,11044422662.070267,index,Clupea harengus
1994,9224223402.735088,6598394088.614792,12895000850.33989,22.945098839343974,0.17092492796888845,7319497313.235881,index,Clupea harengus
1995,16788757906.695084,12570378407.12149,22422745196.750343,23.54397532713943,0.14763861292303165,13719407402.10097,index,Clupea harengus
1996,253709730.58658054,137308187.54223642,468789433.0737956,19.351701378530798,0.31325212193362034,197652310.6790605,index,Clupea harengus
1997,2056417919.7003784,1372099114.4238753,3082032934.8003845,21.44423143221988,0.2064445219080108,1620392784.7085588,index,Clupea harengus
1998,1384567668.750391,960114731.2695174,1996665155.6466498,21.04865377532918,0.18678426297246986,1143175941.0456316,index,Clupea harengus
1999,9605623958.776169,7497810413.70278,12305994223.165236,22.985614592928542,0.12639912001333242,7924928687.821111,index,Clupea harengus
2000,3296416442.7929764,2480544506.7337556,4380635515.636893,21.91610178894717,0.14508320509947867,2698618892.1397023,index,Clupea harengus
2001,2270556427.523702,1765830906.1444778,2919547094.022476,21.543290760659307,0.12826948746687217,1913839108.4463756,index,Clupea harengus
2002,6819971895.035775,5337699074.041592,8713870153.391745,22.643121187830793,0.12503325454643327,5699518890.217016,index,Clupea harengus
2003,148372695.74557024,88304016.43716986,249303007.16809785,18.81523788083633,0.2647710540220601,118997388.80096601,index,Clupea harengus
2004,776730404.5425469,571440609.3120958,1055770471.1730224,20.470603878423297,0.15660122622613368,652749825.4050164,index,Clupea harengus
2005,1433902732.7933846,964416204.7917199,2131939547.3621023,21.083665747530013,0.20236710651356335,1134079155.0717504,index,Clupea harengus
2006,458817331.2371954,300630693.1950636,700239024.8524323,19.944162717652485,0.21570272947832783,370838019.51384795,index,Clupea harengus
2007,2065490503.4466026,1563073459.8476372,2729398924.2475867,21.448633567088564,0.14220347044281378,1703042856.3264952,index,Clupea harengus
2008,564713200.0326424,388807000.01399356,820203849.9297353,20.151828549671166,0.1904294762942028,462482823.68440944,index,Clupea harengus
2009,2272023976.957686,1739958055.6512125,2966791604.6048684,21.54393689098805,0.13613007644931147,1889854864.256493,index,Clupea harengus
