year,est_x,lwr_x,upr_x,se_x,est_y,lwr_y,upr_y,se_y,type,species
2006,577.7197597053688,556.4498657671796,598.989653643558,10.85218611462422,6390.26290635054,6375.529368532282,6404.996444168798,7.517249262983509,cog,Clupea harengus
2007,574.1050476573452,561.2022359845372,587.0078593301531,6.583188147631111,6413.793790932024,6400.465739078703,6427.1218427853455,6.800151410153952,cog,Clupea harengus
2008,593.3281124410074,577.245574322098,609.4106505599168,8.20552736977128,6410.009821219699,6394.929358553544,6425.090283885854,7.694254988921837,cog,Clupea harengus
2009,583.5413227880921,569.4213785645071,597.6612670116771,7.204185553898569,6422.816163474839,6411.244361043233,6434.387965906446,5.904089321479295,cog,Clupea harengus
2010,586.9674669283223,561.9679711215183,611.9669627351263,12.755079176962889,6396.924315151396,6374.549389725616,6419.299240577176,11.415988049918562,cog,Clupea harengus
2012,587.1355658787398,571.4528407284714,602.8182910290083,8.001537412917665,6399.723737874975,6384.642660464993,6414.804815284957,7.694568639495228,cog,Clupea harengus
2013,605.1727076265487,585.3579631566909,624.9874520964065,10.109749274044821,6376.645489796667,6356.899315644661,6396.391663948672,10.074763775130851,cog,Clupea harengus
2014,572.9119402932968,558.6311027889125,587.1927777976811,7.286275470891165,6420.328961977731,6407.802054673623,6432.855869281838,6.391396680203078,cog,Clupea harengus
2015,576.5541509624824,561.1374439966002,591.9708579283646,7.865811355457155,6416.616647645671,6399.1267982561285,6434.106497035214,8.923556518130255,cog,Clupea harengus
2016,556.7243261106682,530.7259585212661,582.7226937000704,13.264717002186785,6395.97143872124,6379.320129700585,6412.622747741894,8.495721937748606,cog,Clupea harengus
2017,588.3008558757133,573.2150876979064,603.3866240535202,7.696961932362825,6397.47947919031,6380.834456602286,6414.124501778333,8.492514515224567,cog,Clupea harengus
2018,593.2797120044409,573.312762864794,613.2466611440877,10.187406144777997,6405.067466872025,6388.309726084131,6421.825207659918,8.550024857638299,cog,Clupea harengus
2019,579.796284871805,565.4727819238648,594.1197878197453,7.308043954339097,6413.192679896955,6399.617501828105,6426.767857965806,6.9262385308759615,cog,Clupea harengus
2020,581.5475826382371,563.3383420893448,599.7568231871295,9.290599568422973,6393.3789089908505,6375.801263619563,6410.956554362138,8.968351209480383,cog,Clupea harengus
2021,568.9642060372367,548.5424538835148,589.3859581909587,10.41945276280899,6385.446749883094,6368.115940287279,6402.777559478908,8.84241227518363,cog,Clupea harengus
2022,589.2592946532791,569.694932571412,608.8236567351462,9.982000810315062,6388.923063254927,6369.9091630053135,6407.9369635045405,9.701147775975723,cog,Clupea harengus
2023,593.8686739533531,571.849748969728,615.8875989369782,11.23435183366001,6385.260565717196,6360.6460342672335,6409.875097167159,12.558665181666,cog,Clupea harengus
2024,594.2784565554007,572.6640185167361,615.8928945940653,11.02797715119079,6394.16350247476,6375.126067012557,6413.200937936964,9.713155758151007,cog,Clupea harengus
1993,537.1183770287606,526.9823804902406,547.2543735672806,5.17152183329462,6438.824434561742,6430.071604473851,6447.577264649633,4.46581169701694,cog,Crystallogobius linearis
1994,553.7506942829693,538.9600382287001,568.5413503372386,7.546391755632287,6427.630829813738,6417.772070308589,6437.489589318888,5.030071768111216,cog,Crystallogobius linearis
1995,571.8415859594717,552.494930790012,591.1882411289314,9.870923813939275,6407.890289037893,6393.511994609456,6422.26858346633,7.33599930501339,cog,Crystallogobius linearis
1996,551.8688311722042,538.2883778595046,565.4492844849037,6.92893003127633,6434.976140084449,6424.161446672396,6445.790833496502,5.5178021113441185,cog,Crystallogobius linearis
1997,559.4222417319592,544.3204047672269,574.5240786966914,7.705160443688536,6431.809087945013,6420.154645975228,6443.463529914798,5.946253125931508,cog,Crystallogobius linearis
1998,551.6707276243976,540.2995613984914,563.0418938503038,5.801722029384475,6439.134320642182,6429.374705459888,6448.893935824475,4.979487000412366,cog,Crystallogobius linearis
1999,545.9406731077586,537.285998285013,554.5953479305042,4.415731559871804,6436.715526749715,6428.311616779377,6445.119436720052,4.287787957649743,cog,Crystallogobius linearis
2000,551.0036148891052,539.2325375203563,562.774692257854,6.005762076036925,6437.564136126722,6428.573984039161,6446.554288214283,4.586896574872716,cog,Crystallogobius linearis
2001,562.0030028300436,551.7127447119991,572.293260948088,5.250228167054421,6438.482229820401,6428.052842241812,6448.91161739899,5.321213890079039,cog,Crystallogobius linearis
2002,556.2475085049325,539.9053673709278,572.5896496389372,8.33798032153113,6438.476793160613,6429.634679525825,6447.318906795401,4.511365364125567,cog,Crystallogobius linearis
2003,550.5767518703317,541.0450212941031,560.1084824465603,4.863217207772003,6443.778939262059,6435.524113817015,6452.033764707103,4.211723026625488,cog,Crystallogobius linearis
2004,548.3970585718507,535.7177530031831,561.0763641405183,6.46915232559389,6430.3615352245,6421.491491993074,6439.231578455925,4.525615420176686,cog,Crystallogobius linearis
2005,533.3092044090305,523.6540446489098,542.9643641691512,4.926192438370975,6441.224006848674,6434.221037927152,6448.226975770197,3.57300898218573,cog,Crystallogobius linearis
2006,558.3313468184534,546.4984060587851,570.1642875781217,6.037325610575029,6441.284822686175,6433.820954441459,6448.748690930891,3.8081660191663596,cog,Crystallogobius linearis
2007,550.0552767784616,539.5902649514245,560.5202886054986,5.339389861029986,6431.03802665254,6422.527526929973,6439.548526375107,4.34217148360718,cog,Crystallogobius linearis
2008,559.3714353245642,547.0552443571187,571.6876262920098,6.283886369644597,6436.718750937765,6426.434278072628,6447.0032238029025,5.2472764531695715,cog,Crystallogobius linearis
2009,556.3537667544698,543.7295068530408,568.9780266558988,6.441067285423382,6437.434382799448,6427.847296420806,6447.02146917809,4.891460483082334,cog,Crystallogobius linearis
2010,559.3399429722155,544.5624959414689,574.117390002962,7.539652334078146,6427.983506958843,6416.629219431114,6439.3377944865715,5.793110290438887,cog,Crystallogobius linearis
2012,560.0213184301646,546.191312701534,573.8513241587951,7.056255032092373,6427.850487355112,6418.371758702893,6437.329216007331,4.836174912899386,cog,Crystallogobius linearis
2013,559.0565861719608,548.1073387728133,570.0058335711084,5.586453366242366,6442.126282564649,6433.861160023107,6450.391405106191,4.216976743826039,cog,Crystallogobius linearis
2014,558.2796759037705,544.3155326079084,572.2438191996325,7.124693823973016,6428.889003703476,6419.8819164781635,6437.896090928789,4.595537110048518,cog,Crystallogobius linearis
2015,546.2783360077626,534.1379439201617,558.4187280953636,6.194191415435585,6434.820002836062,6425.942885372113,6443.69712030001,4.529224788807581,cog,Crystallogobius linearis
2016,563.4078360695536,549.7844473885884,577.0312247505187,6.950836233943461,6426.068650238306,6415.377986779977,6436.759313696635,5.454520359892341,cog,Crystallogobius linearis
2017,549.9743409011139,539.7105837246237,560.2380980776041,5.236707030052328,6436.471454779499,6428.680046463023,6444.262863095975,3.975281371460713,cog,Crystallogobius linearis
2018,559.5505706546949,547.1619421096044,571.9391991997853,6.32084499654603,6423.793887233353,6413.803818843263,6433.783955623444,5.0970673282217644,cog,Crystallogobius linearis
2019,557.479185676956,545.3999190949128,569.5584522589993,6.163004359938714,6433.8356675391215,6425.021487407801,6442.649847670442,4.497113314757548,cog,Crystallogobius linearis
2020,556.1541063718828,539.7508622714737,572.5573504722919,8.36915587724867,6431.207732862475,6419.493298387767,6442.922167337182,5.976862109258116,cog,Crystallogobius linearis
2021,546.8273357990104,532.6618291910474,560.9928424069733,7.22743209553778,6431.59037119253,6423.978479137089,6439.202263247971,3.883689759344016,cog,Crystallogobius linearis
2022,563.8133778650731,548.4266300126308,579.2001257175154,7.850525812622605,6425.3358812950855,6415.6766273888625,6434.995135201309,4.928281326807238,cog,Crystallogobius linearis
2023,545.7927464482405,525.5324998257058,566.0529930707751,10.33705046742941,6425.030234561589,6415.404559104312,6434.655910018866,4.911149150292183,cog,Crystallogobius linearis
2024,549.3198693706192,529.6013708850235,569.038367856215,10.060643277699368,6432.917049757081,6420.013096849965,6445.821002664197,6.583770420732758,cog,Crystallogobius linearis
1993,641.1250629171756,632.0251828236179,650.2249430107332,4.64288128013392,6323.552644854892,6307.085253868244,6340.0200358415395,8.401884481827256,cog,Pholis gunnellus
1994,650.9293846436383,641.0829812695774,660.7757880176991,5.023767503754148,6292.64070230924,6278.011615319883,6307.269789298596,7.463957044490845,cog,Pholis gunnellus
1995,641.6021436488952,631.2320663212405,651.9722209765499,5.290953001918667,6316.224587130324,6297.492549450285,6334.956624810363,9.557337699975438,cog,Pholis gunnellus
1996,648.6391134716621,635.4078529917609,661.8703739515632,6.7507671489209145,6320.392961334923,6294.088552193021,6346.697370476824,13.420863520649931,cog,Pholis gunnellus
1997,625.2095677128628,616.0720873252573,634.3470481004684,4.662065456141477,6343.269901070826,6324.050020179653,6362.489781961998,9.806241871165163,cog,Pholis gunnellus
1998,652.820855494505,645.0272775774046,660.6144334116055,3.9763883308954853,6324.564140833449,6306.499409001474,6342.628872665423,9.216869276408394,cog,Pholis gunnellus
1999,640.0135240641262,632.2291000029617,647.7979481252906,3.9717179104142057,6269.411255748257,6253.936815900143,6284.88569559637,7.895267448878445,cog,Pholis gunnellus
2000,655.0804846122201,637.750207892542,672.4107613318981,8.842140394607801,6305.9393111374675,6277.7186047369805,6334.160017537954,14.398584169447963,cog,Pholis gunnellus
2001,644.7767237287268,636.9630575089235,652.5903899485301,3.9866376532612096,6321.821126674074,6303.031053110617,6340.61120023753,9.586948388679977,cog,Pholis gunnellus
2002,650.408933074309,638.226236764403,662.5916293842149,6.2157755989403745,6322.892513295415,6298.557918440814,6347.227108150015,12.415837763626577,cog,Pholis gunnellus
2003,646.9608283131618,638.4437324490789,655.4779241772446,4.345536923772406,6317.39101879019,6302.857152548608,6331.924885031773,7.4153741375981514,cog,Pholis gunnellus
2004,636.3687126787573,629.4098554882887,643.327569869226,3.550502583393991,6346.924429528414,6329.51127363556,6364.337585421268,8.88442646406074,cog,Pholis gunnellus
2005,648.6842795858132,639.9226124595533,657.4459467120731,4.4703204729121655,6293.464255207849,6278.037663164039,6308.89084725166,7.870854855238924,cog,Pholis gunnellus
2006,633.6459133355385,627.9401983397659,639.3516283313111,2.9111325722199912,6353.209872751132,6338.222466661039,6368.197278841225,7.646776271560062,cog,Pholis gunnellus
2007,645.400326245527,637.2492389931948,653.5514134978592,4.1587944047068985,6290.051702527602,6273.297287801447,6306.806117253757,8.54832785618071,cog,Pholis gunnellus
2008,640.8882213080665,629.1243890730354,652.6520535430975,6.002065511316881,6327.804848172247,6302.141962543046,6353.467733801448,13.093549591536618,cog,Pholis gunnellus
2009,645.0936738933059,637.8424409127975,652.3449068738142,3.6996766459512265,6330.4712420148835,6313.720664293194,6347.221819736573,8.546370164868314,cog,Pholis gunnellus
2010,643.2021382614255,632.585542775504,653.818733747347,5.416729883642696,6328.512670084473,6306.353664928326,6350.67167524062,11.305822622729137,cog,Pholis gunnellus
2012,659.0883910838,649.4329060451433,668.7438761224568,4.926358399857338,6310.4182002776015,6294.4669140349415,6326.3694865202615,8.138560896262195,cog,Pholis gunnellus
2013,654.7558300749569,646.593745519552,662.9179146303617,4.164405376724394,6301.86413316897,6288.230737881503,6315.497528456436,6.955941739238794,cog,Pholis gunnellus
2014,644.9928292243842,634.2119331987499,655.7737252500185,5.500558229984149,6321.525494036885,6298.572158154284,6344.478829919486,11.711100848614642,cog,Pholis gunnellus
2015,646.6946002068573,637.0955606930804,656.2936397206342,4.8975591334804784,6323.719626233555,6302.906759381591,6344.532493085519,10.619004745052912,cog,Pholis gunnellus
2016,643.3403940820721,633.511788160006,653.1690000041382,5.014687004247486,6312.271367665865,6295.566271351675,6328.976463980055,8.523164938722369,cog,Pholis gunnellus
2017,646.4277666215046,637.2087156538769,655.6468175891323,4.703683863757921,6307.147986968024,6288.651990205205,6325.6439837308435,9.43690644762518,cog,Pholis gunnellus
2018,648.8819913793309,637.9064006087506,659.8575821499112,5.599894108848082,6322.228919377431,6300.508555737795,6343.9492830170675,11.082021818239369,cog,Pholis gunnellus
2019,643.4203343632998,633.809716561737,653.0309521648627,4.9034665317169965,6318.845199045566,6303.882207420498,6333.808190670634,7.634319682960646,cog,Pholis gunnellus
2020,646.7940046940286,635.0681694068572,658.5198399811999,5.982678957196775,6322.32244512817,6301.14032608356,6343.504564172781,10.807402182740262,cog,Pholis gunnellus
2021,647.6212455344912,636.5608237449601,658.6816673240223,5.643176036281436,6311.100584549902,6288.261666241378,6333.939502858426,11.652723462611647,cog,Pholis gunnellus
2022,653.9777149177048,642.2233352145807,665.7320946208289,5.997242702335906,6304.772502675754,6287.2397210659165,6322.305284285592,8.945461114660377,cog,Pholis gunnellus
2023,646.2669235521428,636.789036168249,655.7448109360365,4.835745686478988,6332.468669697557,6311.080265311199,6353.857074083915,10.912651740066458,cog,Pholis gunnellus
2024,653.9702041160563,640.5096387820356,667.4307694500769,6.867761571230866,6309.87219424875,6287.092974361406,6332.651414136094,11.622264524768507,cog,Pholis gunnellus
1993,627.7296071486167,616.0079863855884,639.4512279116449,5.980528650264439,6359.857088209868,6343.095175533947,6376.619000885789,8.552153411050893,cog,Pomatoschistus sp
1994,636.9561617305974,623.8572833251008,650.055040136094,6.683224033104152,6340.485360463286,6326.365186512103,6354.60553441447,7.204302764010565,cog,Pomatoschistus sp
1995,649.1954458184673,640.2349536563363,658.1559379805983,4.571763681787136,6316.965184699947,6303.288599181278,6330.641770218615,6.977977976405567,cog,Pomatoschistus sp
1996,630.5646313141658,618.995119497797,642.1341431305347,5.902920618760193,6355.48743508835,6340.208179418971,6370.7666907577295,7.7956818543097475,cog,Pomatoschistus sp
1997,637.8365429062686,625.7643602964692,649.908725516068,6.159390021971437,6330.856801145538,6312.7523489829655,6348.961253308111,9.237135123593108,cog,Pomatoschistus sp
1998,633.0175623444169,624.1223129738728,641.912811714961,4.5384759315521315,6349.464269039327,6336.320160624798,6362.608377453856,6.706300992369258,cog,Pomatoschistus sp
1999,630.6361176281044,617.7872532014778,643.4849820547311,6.55566353666539,6352.166854465027,6336.562208549868,6367.771500380187,7.961700336458748,cog,Pomatoschistus sp
2000,632.0654854664023,620.023421922104,644.1075490107005,6.144022869442734,6351.335106885103,6335.960665405192,6366.709548365015,7.844246935751498,cog,Pomatoschistus sp
2001,635.5229417954043,624.6766383532329,646.3692452375758,5.533929974084061,6342.909654832437,6327.9395813573765,6357.879728307497,7.637932938126417,cog,Pomatoschistus sp
2002,634.5566971963964,622.4907014795035,646.6226929132893,6.1562333859539775,6339.214416054047,6322.6021233623715,6355.826708745723,8.47581528166407,cog,Pomatoschistus sp
2003,628.923664911024,616.6082003641939,641.2391294578542,6.283515740071226,6340.078893083049,6320.68567913414,6359.472107031957,9.89467872975212,cog,Pomatoschistus sp
2004,635.0269304004229,621.0838440541803,648.9700167466655,7.1139502849153775,6337.294487656813,6316.973414435475,6357.61556087815,10.36808501667754,cog,Pomatoschistus sp
2005,622.5136040781189,606.3960316632257,638.631176493012,8.223402339036104,6356.4717969259045,6336.522724001037,6376.420869850772,10.178285459438468,cog,Pomatoschistus sp
2006,624.5328190558449,609.8859893578549,639.179648753835,7.473009613198187,6356.06986613974,6335.137002531341,6377.002729748139,10.680228704973832,cog,Pomatoschistus sp
2007,607.4065155869782,590.6003382106802,624.2126929632763,8.574737856849916,6356.324375953928,6336.012254203204,6376.636497704652,10.363517855911576,cog,Pomatoschistus sp
2008,623.7791695075224,610.2565327059212,637.3018063091235,6.899431269281463,6360.353620560788,6341.284697731027,6379.4225433905485,9.729221036801725,cog,Pomatoschistus sp
2009,618.6157086796534,604.2807652973262,632.9506520619806,7.313881017916327,6368.233013223238,6345.781016901826,6390.685009544651,11.4553106580073,cog,Pomatoschistus sp
2010,625.585463506616,609.4128662980776,641.7580607151543,8.251476729218352,6353.440666913043,6332.495553872263,6374.385779953823,10.686478530214057,cog,Pomatoschistus sp
2012,622.6435614656201,609.2050459461922,636.082076985048,6.85651145910294,6370.9541559261525,6349.843073517162,6392.065238335143,10.771158335312228,cog,Pomatoschistus sp
2013,622.9521580739322,610.3766227353265,635.5276934125379,6.416207357788178,6360.044690389869,6343.30193379183,6376.787446987908,8.542379722333516,cog,Pomatoschistus sp
2014,618.6191147875886,606.4438757306849,630.7943538444923,6.211970808106931,6372.26530628629,6354.455585057925,6390.075027514655,9.086759434788547,cog,Pomatoschistus sp
2015,625.2040538215857,614.2032288638908,636.2048787792806,5.612768930688541,6352.409327072625,6336.989181342578,6367.829472802672,7.867565859209258,cog,Pomatoschistus sp
2016,620.9508889374257,603.0493261038655,638.8524517709859,9.133618257664631,6355.627957110681,6333.055646897625,6378.200267323737,11.516696424579088,cog,Pomatoschistus sp
2017,618.860580290902,602.2819370015383,635.4392235802658,8.458646903787,6362.086166870132,6341.320873415987,6382.851460324277,10.594732157293981,cog,Pomatoschistus sp
2018,630.468625695501,613.9450163677584,646.9922350232437,8.430567835980053,6348.834301823119,6325.808155122435,6371.860448523803,11.748249907810406,cog,Pomatoschistus sp
2019,623.9003475699644,610.8382464029563,636.9624487369725,6.664459791118744,6362.756967244207,6342.666140707301,6382.847793781113,10.25061005986826,cog,Pomatoschistus sp
2020,624.6803629623635,606.4695115743499,642.891214350377,9.291421440219553,6355.3946117621545,6329.469888299595,6381.3193352247135,13.227142777648142,cog,Pomatoschistus sp
2021,623.4780355170478,607.3990464608668,639.5570245732289,8.203716590207838,6360.149384119126,6335.741032666278,6384.557735571973,12.453469372589247,cog,Pomatoschistus sp
2022,619.2817587413482,603.0401173272269,635.5234001554695,8.286704012029471,6363.661714690425,6339.62895025242,6387.6944791284295,12.261839823370616,cog,Pomatoschistus sp
2023,628.3361278762928,610.7003357650063,645.9719199875793,8.998018458704019,6351.565829577788,6327.002314054774,6376.129345100801,12.532636169219185,cog,Pomatoschistus sp
2024,623.7887967654581,606.1719099934718,641.4056835374444,8.988372700185343,6357.8457360447655,6331.46282027387,6384.228651815661,13.46091865922054,cog,Pomatoschistus sp
1993,591.0392764044542,572.7492481871503,609.3293046217581,9.331818524000099,6377.190263705203,6356.129605555112,6398.250921855293,10.745431199866312,cog,Ammodytidae
1994,602.8055742343051,585.6472701547332,619.9638783138771,8.754397639402805,6374.87136259467,6352.949851183589,6396.792874005751,11.18465011806076,cog,Ammodytidae
1995,600.2137752925962,582.1074537883865,618.320096796806,9.23808888685208,6380.426388550493,6359.869242145193,6400.983534955793,10.488532731954411,cog,Ammodytidae
1996,608.0977002115603,585.0432703291888,631.1521300939319,11.762680367711853,6360.630797059065,6331.421064115882,6389.840530002249,14.903198820787797,cog,Ammodytidae
1997,607.6850872990153,589.5821383655419,625.7880362324887,9.236368155877935,6364.271627564345,6342.0910418670455,6386.452213261645,11.316833305232922,cog,Ammodytidae
1998,612.840724077026,592.086675241413,633.5947729126391,10.588995001601226,6354.167977118157,6328.742032422055,6379.593921814259,12.97265913897364,cog,Ammodytidae
1999,616.4041942859957,598.8694108475293,633.9389777244621,8.946482474565144,6359.468306317308,6335.389049380739,6383.547563253876,12.285560921783613,cog,Ammodytidae
2000,623.2242085240356,605.1077810631288,641.3406359849424,9.243245081953996,6346.131779556349,6319.99024096194,6372.273318150758,13.337764775582764,cog,Ammodytidae
2001,591.7163721533468,570.856831822544,612.5759124841496,10.642818182038154,6378.562916074936,6351.837715895309,6405.288116254563,13.6355567706506,cog,Ammodytidae
2002,618.5236818759585,599.03439628415,638.0129674677669,9.943695774788457,6356.274885599238,6337.529508487297,6375.0202627111785,9.56414365763939,cog,Ammodytidae
